Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Code	Board Error
2017-06-16 13:23:07	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.6.11	2464	222	0	false	0	
2017-06-16 13:23:10	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.6.12	2464	222	0	false	0	
2017-06-16 13:23:13	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.6.13	2464	222	0	false	0	
2017-06-16 13:23:20	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.0	2464	222	0	false	0	
2017-06-16 13:23:26	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.1	2464	222	0	false	0	
2017-06-16 13:23:32	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.2	2464	222	0	false	0	
2017-06-16 13:23:38	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NewPing/examples/NewPingExample/NewPingExample.pde	arduino:avr:uno	1.8.3	2464	222	0	false	0	
2017-06-16 13:23:44	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/WirelessOregonV2/examples/OregonReceiver/OregonReceiver.ino	arduino:avr:uno	1.8.3	3248	278	0	false	0	
2017-06-16 13:23:51	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/NanodeUNIO/examples/NanodeUNIO_test/NanodeUNIO_test.ino	arduino:avr:uno	1.8.3	4668	406	2	false	0	
2017-06-16 13:23:57	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/ArduinoShell/examples/ShellBlink/ShellBlink.ino	arduino:avr:uno	1.8.3	7904	462	1	false	0	
2017-06-16 13:24:04	507	507.3	https://travis-ci.org/per1234/arduino-ci-script/jobs/243661524	push	false	false	verbosity-comparisons-as-string	b45c125594f7f19501b08d3b33b33bd181ce95bc		Use arithmetic relational operators for the verbosity level comparisons	/home/travis/arduino-sketchbook/libraries/max_7456/examples/HelloWorld/HelloWorld.ino	arduino:avr:uno	1.8.3	5522	282	1	false	0	
